tick,deer_index,chamois_index,bear_index,broadleaf_index,nontarget_index,biodiversity_index,income_index,human_pop_indexed,emigration_rate,pct_accepted,ecosystem_status,hunt_pressure,predator_damage,agreement_active,run_id,param_simulation-years
20,167.1871195785128,156.2531706572506,116.08004159152077,124.91331131390835,68.34177447839585,145.35022881636485,143.72956667084526,57.98092817895755,5.0,100.0,2.0,0.0,0.41372310273709356,1.0,2,30.376709391550598
21,172.34208968635573,161.23349275932623,119.71411915096417,127.8848753144886,67.13978099159301,149.37448193220746,145.83385488358078,56.22740412741379,5.0,100.0,2.0,0.0,0.4369391110553975,1.0,2,30.376709391550598
22,177.18218264740648,165.97105736916626,123.31695071683457,130.75612173925666,66.00331400604539,153.18536444761838,147.88410062282827,55.4563448353546,5.0,100.0,2.0,0.0,0.4608819348855891,1.0,2,30.376709391550598
23,181.70083077965586,170.454677737655,126.88011382231359,133.52288796086611,64.92733968328695,156.77558949607285,149.88089891549356,54.344241617041476,5.0,100.0,2.0,0.0,0.4855453250289576,1.0,2,30.376709391550598
24,185.89682812333876,174.67729370747315,130.39553402868776,136.1819562735009,63.90732878586077,160.141595068945,151.82496590506324,53.55435069987856,3.0,85.45454545454545,2.0,0.0,0.5109213477934197,1.0,2,30.376709391550598
25,189.7737111214364,178.63571754681178,133.855556312487,138.73102642886602,62.93919469167872,163.28318133629867,153.71713256037594,52.089894206877354,3.0,95.91836734693877,2.0,0.0,0.5370004545991566,1.0,2,30.376709391550598
26,193.33905702518084,182.3302866852289,137.25300860245267,140.74367920128395,62.019240359871915,166.15249100872836,156.65833743133916,50.61079314894612,3.0,0.0,2.0,0.0,0.5637715658616539,0.0,2,30.376709391550598
27,196.60374868346327,185.7644514992452,140.58125641448268,142.67222345132825,61.14411277092079,168.80865910956973,159.54961858512192,49.45023441376892,3.0,0.0,2.0,0.0,0.5912221675821453,0.0,2,30.376709391550598
28,199.5812470607373,188.94432544375448,143.83424781180497,144.51713375510295,60.310763636740504,171.25895662464566,162.39210486794485,48.944736757906604,3.0,0.0,2.0,0.0,0.6193384188650414,0.0,2,30.376709391550598
29,202.28690381292225,191.87822218386978,147.00654821076876,146.27925233844405,59.51641539372958,173.51218412332258,165.1870066447833,48.76751745881901,3.0,0.0,2.0,0.0,0.6481052684274027,0.0,2,30.376709391550598
30,204.73733682822308,194.5762005498742,150.09336484657422,147.95975213625746,58.75853166587874,175.57825930397698,167.9356061720847,48.2551926334072,3.0,0.0,2.0,0.0,0.6775065780695564,0.0,2,30.376709391550598
1,103.33333333333331,102.66666666666666,100.33333333333334,101.0,97.0,102.0,96.395,94.13333333333333,8.12,71.83098591549296,1.0,0.0,0.019999999999999987,1.0,3,33.902489406547026
2,106.6514814814815,105.3131851851852,100.66220370370371,101.9898,94.1773,104.00765211640213,95.78506694444444,87.55306666666667,8.24,85.86387434554975,1.0,0.0,0.04006666666666648,1.0,3,33.902489406547026
3,109.94642106771377,107.93502063834659,100.98663456869679,102.96911013919198,91.516490849413,106.01618813852762,95.17026742591399,82.92015786666667,8.36,92.0,1.0,0.0,0.06019910740740753,1.0,3,33.902489406547026
4,113.21032485706743,110.52779898324727,101.30665053315214,103.93765591479635,89.0039104201958,108.01918142178776,94.55066766791671,77.25018579626666,8.48,94.87179487179486,1.0,0.0,0.08039643432114663,1.0,3,33.902489406547026
